rcvTow,week,leapS,numMeas,leapSec,clkReset,prMes,cpMes,doMes,gnssId,svId,sigId,freqId,locktime,cno,prStdev,cpStdev,doStdev,prValid,cpValid,halfCyc,subHalfCyc
225520.994,2386,18,19,True,False,21427921.17844698,112604492.81072342,1154.3583984375,0,10,0,0,64500,47,3,0,1,True,False,True,True
225520.994,2386,18,19,True,False,20712869.428986613,108846863.42633612,-3761.81494140625,0,15,0,0,0,25,9,0,15,True,True,True,False
225520.994,2386,18,19,True,False,18525802.078790046,97353746.11813417,-1709.8720703125,0,18,0,0,0,25,10,0,15,False,False,False,True
225520.994,2386,18,19,True,False,19036910.186603814,100039658.97947556,-67.620849609375,0,23,0,0,64500,46,3,0,1,True,False,True,True
225520.994,2386,18,19,True,False,22654976.793997575,119052652.90711448,-999.9267578125,0,27,0,0,64500,41,4,0,2,True,True,True,True
225520.994,2386,18,19,True,False,23028663.120322295,121016358.86447373,-2851.130859375,2,7,0,0,64500,28,6,0,6,False,False,False,False
225520.994,2386,18,19,True,False,21229892.162880484,111563802.35980915,1157.649658203125,0,32,0,0,64500,35,5,0,4,False,False,False,False
225520.994,2386,18,19,True,False,22650413.985963695,119028709.46262039,943.183349609375,2,33,0,0,64500,46,3,0,1,True,False,True,True
225520.994,2386,18,19,True,False,21516378.645095427,113069343.22956043,-1587.513671875,2,26,0,0,64500,32,6,0,5,False,False,False,False
225520.994,2386,18,19,True,False,21427912.701619808,84087736.88655835,862.0320434570312,0,10,7,0,64500,44,3,0,1,False,True,True,True
225520.994,2386,18,19,True,False,18525782.440524403,72699124.97912687,-1275.4307861328125,0,18,7,0,64500,37,5,0,3,False,False,False,False
225520.994,2386,18,19,True,False,19036903.92762951,74704897.58145916,-50.329593658447266,0,23,7,0,64500,47,3,0,1,True,False,True,True
225520.994,2386,18,19,True,False,18864022.668919962,74026476.17906897,-839.8201293945312,0,24,7,0,0,25,9,0,15,False,False,False,True
225520.994,2386,18,19,True,False,22654972.186093077,88902965.57648703,-746.9873657226562,0,27,7,0,64500,38,4,0,3,True,True,True,True
225520.994,2386,18,19,True,False,23028646.953393567,90369361.6138324,-2128.989990234375,2,7,4,0,64500,25,7,0,10,False,False,False,False
225520.994,2386,18,19,True,False,22650403.34859016,88885048.81539764,704.4727172851562,2,33,4,0,64500,47,3,0,1,True,False,True,True
225520.994,2386,18,19,True,False,21229888.06591836,83310639.49143654,864.5613403320312,0,32,7,0,15860,31,6,0,6,False,False,False,False
225520.994,2386,18,19,True,False,24755826.883598763,97147181.42971902,-2638.163818359375,2,13,4,0,0,21,10,0,15,True,False,True,True
225520.994,2386,18,19,True,False,21516374.50527557,84434857.0531472,-1185.9373779296875,2,26,4,0,64500,26,6,0,9,False,False,False,False
225521.994,2386,18,20,True,False,21427701.503239926,112603338.56951392,1154.4453125,0,10,0,0,64500,47,3,0,1,True,False,True,True
225521.994,2386,18,20,True,False,20713584.068730917,108850618.46808633,-3758.863037109375,0,15,0,0,0,24,9,0,15,True,True,True,False
225521.994,2386,18,20,True,False,18526124.17909714,97355438.82279871,-1705.355712890625,0,18,0,0,0,25,10,0,15,False,False,False,True
225521.994,2386,18,20,True,False,19036922.90013445,100039726.58707309,-67.4560546875,0,23,0,0,64500,46,3,0,1,True,False,True,True
225521.994,2386,18,20,True,False,18864234.72410554,99132222.24462722,-1126.099365234375,0,24,0,0,0,25,9,0,15,False,True,True,False
225521.994,2386,18,20,True,False,22655167.23464545,119053653.11209728,-1000.3075561523438,0,27,0,0,64500,41,4,0,2,True,True,True,True
225521.994,2386,18,20,True,False,23029204.803699292,121019209.57677469,-2851.058349609375,2,7,0,0,64500,28,6,0,7,False,False,False,False
225521.994,2386,18,20,True,False,21229671.790851332,111562645.04294927,1157.97119140625,0,32,0,0,64500,35,5,0,4,False,False,False,False
225521.994,2386,18,20,True,False,22650234.58516117,119027766.33086106,943.103515625,2,33,0,0,64500,46,3,0,1,True,False,True,True
225521.994,2386,18,20,True,False,21516681.21707325,113070931.05109905,-1587.967041015625,2,26,0,0,64500,32,6,0,5,False,False,False,False
225521.994,2386,18,20,True,False,21427692.995560765,84086874.94816038,862.0984497070312,0,10,7,0,64500,44,3,0,1,False,True,True,True
225521.994,2386,18,20,True,False,18526107.644317817,72700400.73259345,-1275.7305908203125,0,18,7,0,64500,37,4,0,3,True,True,True,True
225521.994,2386,18,20,True,False,19036916.71668469,74704948.07398927,-50.427249908447266,0,23,7,0,64500,47,3,0,1,True,False,True,True
225521.994,2386,18,20,True,False,18864236.446162824,74027315.23503408,-839.7273559570312,0,24,7,0,0,25,9,0,15,False,False,False,True
225521.994,2386,18,20,True,False,22655162.449307136,88903712.46957508,-746.8225708007812,0,27,7,0,64500,38,4,0,2,True,True,True,True
225521.994,2386,18,20,True,False,23029189.867290117,90371490.38364697,-2128.859375,2,7,4,0,64500,25,7,0,10,False,False,False,False
225521.994,2386,18,20,True,False,22650223.91009517,88884344.53071941,704.40185546875,2,33,4,0,64500,47,3,0,1,True,False,True,True
225521.994,2386,18,20,True,False,21229667.937284846,83309775.2801225,863.9802856445312,0,32,7,0,16860,31,6,0,6,True,False,True,False
225521.994,2386,18,20,True,False,24756499.611689303,97149821.6282631,-2627.857421875,2,13,4,0,0,21,9,0,15,False,False,False,True
225521.994,2386,18,20,True,False,21516676.5811088,84436042.73567858,-1185.5469970703125,2,26,4,0,64500,26,6,0,9,False,False,False,False
225524.994,2386,18,19,True,False,21427042.487390883,112599875.6532667,1154.12890625,0,10,0,0,64500,47,3,0,1,True,False,True,True
225524.994,2386,18,19,True,False,18527096.494340654,97360548.2090872,-1706.466796875,0,18,0,0,0,24,10,0,15,False,False,False,True
225524.994,2386,18,19,True,False,19036961.684429992,100039930.422252,-68.524169921875,0,23,0,0,64500,46,3,0,1,False,True,True,True
225524.994,2386,18,19,True,False,18864874.249596987,99135582.70925862,-1131.549072265625,0,24,0,0,0,24,9,0,15,False,True,True,False
225524.994,2386,18,19,True,False,22655738.971904248,119056657.0159337,-1002.3486328125,0,27,0,0,64500,42,4,0,2,False,True,True,True
225524.994,2386,18,19,True,False,23030830.664707,121027762.50123408,-2851.52197265625,2,7,0,0,64500,28,6,0,7,False,False,False,False
225524.994,2386,18,19,True,False,21229011.329705454,111559175.0643037,1156.223388671875,0,32,0,0,64500,34,5,0,4,False,False,False,False
225524.994,2386,18,19,True,False,22649696.68806262,119024938.60615176,942.003662109375,2,33,0,0,64500,46,3,0,1,True,False,True,True
225524.994,2386,18,19,True,False,21517588.609409876,113075697.0941161,-1589.68798828125,2,26,0,0,64500,33,6,0,4,False,False,False,False
225524.994,2386,18,19,True,False,21427034.029689144,84084289.00885515,861.8494262695312,0,10,7,0,64500,43,3,0,1,False,True,True,True
225524.994,2386,18,19,True,False,18527083.616289362,72704230.96008928,-1277.51171875,0,18,7,0,64500,37,4,0,3,True,True,True,True
225524.994,2386,18,19,True,False,19036955.445837546,74705100.28270268,-51.068119049072266,0,23,7,0,64500,47,3,0,1,True,False,True,True
225524.994,2386,18,19,True,False,18864879.760934155,74029840.21933897,-841.5628051757812,0,24,7,0,0,26,7,0,15,False,True,True,False
225524.994,2386,18,19,True,False,22655734.414954387,88905955.62654492,-748.5559692382812,0,27,7,0,64500,39,4,0,2,True,True,True,True
225524.994,2386,18,19,True,False,23030817.945103686,90377877.34224126,-2130.35595703125,2,7,4,0,64500,24,7,0,11,True,False,True,False
225524.994,2386,18,19,True,False,22649686.005737327,88882232.91170403,703.5315551757812,2,33,4,0,64500,47,3,0,1,True,False,True,True
225524.994,2386,18,19,True,False,21229007.416459225,83307184.03603813,863.7676391601562,0,32,7,0,19860,31,6,0,6,False,False,False,False
225524.994,2386,18,19,True,False,24758512.347374745,97157720.01932523,-2640.185546875,2,13,4,0,0,21,9,0,15,False,False,False,True
225524.994,2386,18,19,True,False,21517583.602942403,84439601.7836159,-1186.9385986328125,2,26,4,0,64500,26,5,0,8,False,False,False,False
225525.994,2386,18,19,True,False,21426822.876959033,112598721.46782261,1154.293212890625,0,10,0,0,64500,47,3,0,1,True,False,True,True
225525.994,2386,18,19,True,False,18527422.40465849,97362260.94361001,-1705.235595703125,0,18,0,0,0,24,10,0,15,False,False,False,True
225525.994,2386,18,19,True,False,19036974.66487916,100039998.85857451,-68.4814453125,0,23,0,0,64500,46,3,0,1,False,True,True,True
225525.994,2386,18,19,True,False,18865088.36355925,99136708.22052304,-1129.684814453125,0,24,0,0,0,24,9,0,15,True,True,True,False
225525.994,2386,18,19,True,False,22655929.742151834,119057659.56129353,-1002.891845703125,0,27,0,0,64500,42,4,0,2,False,True,True,True
225525.994,2386,18,19,True,False,23031372.214764334,121030613.88291565,-2851.37890625,2,7,0,0,64500,28,6,0,7,False,False,False,False
225525.994,2386,18,19,True,False,21228791.278690513,111558019.16880491,1155.64404296875,0,32,0,0,64500,35,5,0,3,False,False,False,False
225525.994,2386,18,19,True,False,22649517.368647914,119023996.74717264,941.7255859375,2,33,0,0,64500,46,3,0,1,True,False,True,True
225525.994,2386,18,19,True,False,21517891.266125955,113077286.7784836,-1590.188232421875,2,26,0,0,64500,32,6,0,5,False,False,False,False
225525.994,2386,18,19,True,False,21426814.387567703,84083427.12275021,861.9158325195312,0,10,7,0,64500,43,3,0,1,False,True,True,True
225525.994,2386,18,19,True,False,18527409.23777119,72705508.79642548,-1277.7801513671875,0,18,7,0,64500,37,4,0,3,True,True,True,True
225525.994,2386,18,19,True,False,19036968.578173406,74705151.38907385,-51.153568267822266,0,23,7,0,64500,47,3,0,1,True,False,True,True
225525.994,2386,18,19,True,False,18865095.61663755,74030686.64287433,-844.3889770507812,0,24,7,0,0,26,8,0,15,False,True,True,False
225525.994,2386,18,19,True,False,22655925.211586703,88906704.29120329,-749.1077270507812,0,27,7,0,64500,39,4,0,2,True,True,True,True
225525.994,2386,18,19,True,False,23031361.140786353,90380006.61537945,-2129.302490234375,2,7,4,0,64500,25,7,0,10,False,False,False,False
225525.994,2386,18,19,True,False,22649506.559145436,88881529.5836677,703.1030883789062,2,33,4,0,64500,47,3,0,1,True,False,True,True
225525.994,2386,18,19,True,False,21228787.246224392,83306320.82015021,863.7827758789062,0,32,7,0,20860,31,5,0,5,False,False,False,False
225525.994,2386,18,19,True,False,24759185.027512085,97160359.30006666,-2634.81396484375,2,13,4,0,0,22,9,0,15,False,False,False,True
225525.994,2386,18,19,True,False,21517886.35026001,84440788.89319381,-1187.7447509765625,2,26,4,0,64500,26,5,0,9,False,False,False,False
225526.994,2386,18,19,True,False,21426603.141304426,112597567.28347847,1154.315673828125,0,10,0,0,64500,47,3,0,1,True,False,True,True
225526.994,2386,18,19,True,False,18527749.2271341,97363979.1107455,-1711.1868896484375,0,18,0,0,0,25,10,0,15,False,False,False,True
225526.994,2386,18,19,True,False,19036987.724482514,100040067.49515069,-68.560791015625,0,23,0,0,64500,46,3,0,1,False,True,True,True
225526.994,2386,18,19,True,False,18865302.275168788,99137832.50491728,-1131.629150390625,0,24,0,0,0,23,9,0,15,False,True,True,False
225526.994,2386,18,19,True,False,22656120.561539236,119058662.7022629,-1003.438720703125,0,27,0,0,64500,42,4,0,1,False,True,True,True
225526.994,2386,18,19,True,False,23031914.07836718,121033465.43306863,-2851.38427734375,2,7,0,0,64500,28,6,0,6,False,False,False,False
225526.994,2386,18,19,True,False,21228571.286029097,111556863.57951811,1155.7021484375,0,32,0,0,64500,35,5,0,3,False,False,False,False
225526.994,2386,18,19,True,False,22649338.046301574,119023055.19021869,941.538818359375,2,33,0,0,64500,46,3,0,1,True,False,True,True
225526.994,2386,18,19,True,False,21518193.66918567,113078876.86502019,-1590.0269775390625,2,26,0,0,64500,33,6,0,5,False,False,False,False
225526.994,2386,18,19,True,False,21426594.627901595,84082565.22874126,862.0569458007812,0,10,7,0,64500,43,3,0,1,False,True,True,True
225526.994,2386,18,19,True,False,18527734.95236738,72706787.19708194,-1279.0008544921875,0,18,7,0,64500,37,4,0,3,True,True,True,True
225526.994,2386,18,19,True,False,19036981.637916364,74705202.6431973,-51.153568267822266,0,23,7,0,64500,47,3,0,1,True,False,True,True
225526.994,2386,18,19,True,False,18865312.296968438,74031537.67437938,-845.5178833007812,0,24,7,0,0,26,8,0,15,False,True,True,False
225526.994,2386,18,19,True,False,22656116.145028725,88907453.35892509,-749.0601196289062,0,27,7,0,64500,39,4,0,2,True,True,True,True
225526.994,2386,18,19,True,False,23031902.669135615,90382135.93243872,-2128.44580078125,2,7,4,0,64500,25,7,0,10,False,False,False,False
225526.994,2386,18,19,True,False,22649327.45792825,88880826.46778125,703.1336059570312,2,33,4,0,64500,47,3,0,1,True,False,True,True
225526.994,2386,18,19,True,False,21228567.25621541,83305457.91416726,863.1082153320312,0,32,7,0,21860,31,6,0,6,True,False,True,False
225526.994,2386,18,19,True,False,24759855.86734947,97162991.98788129,-2629.00048828125,2,13,4,0,0,22,9,0,15,False,False,False,True
225526.994,2386,18,19,True,False,21518188.96579358,84441976.2752622,-1186.9791259765625,2,26,4,0,64500,26,5,0,9,False,False,False,False
225527.994,2386,18,19,True,False,21426383.49820577,112596412.9058015,1154.400146484375,0,10,0,0,64500,47,3,0,1,True,False,True,True
225527.994,2386,18,19,True,False,18528075.60679299,97365694.30716805,-1711.828369140625,0,18,0,0,0,25,10,0,15,False,False,False,True
225527.994,2386,18,19,True,False,19037000.823593162,100040136.11831695,-68.61572265625,0,23,0,0,64500,46,3,0,1,False,True,True,True
225527.994,2386,18,19,True,False,18865516.53166443,99138958.32357462,-1130.6474609375,0,24,0,0,0,24,9,0,15,False,True,True,False
225527.994,2386,18,19,True,False,22656311.591027256,119059666.19427389,-1003.953857421875,0,27,0,0,64500,42,4,0,2,False,True,True,True
225527.994,2386,18,19,True,False,23032455.953905974,121036316.90008223,-2851.79736328125,2,7,0,0,64500,28,6,0,6,False,False,False,False
225527.994,2386,18,19,True,False,21228351.361074522,111555708.10949752,1155.6513671875,0,32,0,0,64500,35,5,0,3,False,False,False,False
225527.994,2386,18,19,True,False,22649158.752294384,119022113.71474357,941.4110717773438,2,33,0,0,64500,46,3,0,1,True,False,True,True
225527.994,2386,18,19,True,False,21518496.65326783,113080467.24783179,-1590.37353515625,2,26,0,0,64500,32,6,0,4,False,False,False,False
225527.994,2386,18,19,True,False,21426374.817001645,84081703.18607043,862.2346801757812,0,10,7,0,64500,43,3,0,1,False,True,True,True
225527.994,2386,18,19,True,False,18528060.855565526,72708065.89838412,-1279.26953125,0,18,7,0,64500,37,5,0,3,True,True,True,True
225527.994,2386,18,19,True,False,19036994.66010645,74705253.8875463,-51.324466705322266,0,23,7,0,64500,47,3,0,1,True,False,True,True
225527.994,2386,18,19,True,False,18865527.035578694,74032380.17818825,-843.7747192382812,0,24,7,0,0,26,7,0,15,False,True,True,False
225527.994,2386,18,19,True,False,22656307.224075362,88908202.72436525,-749.4275512695312,0,27,7,0,64500,39,4,0,2,True,True,True,True
225527.994,2386,18,19,True,False,23032445.466534514,90384265.17102349,-2127.817626953125,2,7,4,0,64500,25,7,0,10,False,False,False,False
225527.994,2386,18,19,True,False,22649148.33214116,88880123.41859971,702.9785766601562,2,33,4,0,64500,48,3,0,1,True,False,True,True
225527.994,2386,18,19,True,False,21228347.231515393,83304595.10573934,862.4776000976562,0,32,7,0,22860,31,5,0,6,False,False,False,False
225527.994,2386,18,19,True,False,24760525.661220796,97165621.18916045,-2637.37060546875,2,13,4,0,0,22,9,0,15,False,False,False,True
225527.994,2386,18,19,True,False,21518491.68770367,84443163.90497169,-1187.7943115234375,2,26,4,0,64500,26,5,0,9,False,False,False,False
225531.994,2386,18,19,True,False,21425504.79011826,112591794.54049696,1154.453369140625,0,10,0,0,64500,47,3,0,1,False,True,True,True
225531.994,2386,18,19,True,False,18529382.388824306,97372561.35545829,-1714.99755859375,0,18,0,0,320,27,8,0,8,True,False,True,False
225531.994,2386,18,19,True,False,19037053.282577332,100040411.72340482,-69.708251953125,0,23,0,0,64500,46,3,0,1,False,True,True,True
225531.994,2386,18,19,True,False,18866385.71947155,99143525.53164233,-1133.74365234375,0,24,0,0,560,27,8,0,8,False,True,True,False
225531.994,2386,18,19,True,False,22657076.60829376,119063685.06458335,-1006.041259765625,0,27,0,0,64500,43,4,0,2,False,True,True,True
225531.994,2386,18,19,True,False,23034622.80761106,121047723.45330888,-2852.327392578125,2,7,0,0,64500,28,6,0,7,False,False,False,False
225531.994,2386,18,19,True,False,21227472.451960504,111551088.72134437,1154.341064453125,0,32,0,0,64500,35,5,0,4,False,False,False,False
225531.994,2386,18,19,True,False,22648442.596056357,119018350.05852127,939.901611328125,2,33,0,0,64500,46,3,0,1,True,False,True,True
225531.994,2386,18,19,True,False,21519707.644771896,113086832.32459,-1592.028076171875,2,26,0,0,64500,33,6,0,5,False,False,False,False
225531.994,2386,18,19,True,False,21425495.904257983,84078254.41447918,862.1560668945312,0,10,7,0,64500,43,3,0,1,False,True,True,True
225531.994,2386,18,19,True,False,18529365.48591519,72713185.22385018,-1281.1324462890625,0,18,7,0,64500,36,4,0,3,True,True,True,True
225531.994,2386,18,19,True,False,19037047.056549042,74705459.6879133,-51.879886627197266,0,23,7,0,64500,47,3,0,1,True,False,True,True
225531.994,2386,18,19,True,False,18866387.988767665,74035757.99758565,-848.4087524414062,0,24,7,0,0,26,8,0,15,False,True,True,False
225531.994,2386,18,19,True,False,22657072.367123038,88911203.79932901,-751.3928833007812,0,27,7,0,64500,39,3,0,2,True,True,True,True
225531.994,2386,18,19,True,False,23034618.20207979,90392783.15749377,-2130.24365234375,2,7,4,0,64500,26,7,0,10,False,False,False,False
225531.994,2386,18,19,True,False,22648432.268738292,88877312.88914104,701.9971313476562,2,33,4,0,64500,48,3,0,1,True,False,True,True
225531.994,2386,18,19,True,False,21227468.26104641,83301145.54489799,862.0984497070312,0,32,7,0,26860,31,6,0,6,True,False,True,False
225531.994,2386,18,19,True,False,24763210.3174705,97176156.02305786,-2635.273193359375,2,13,4,0,0,22,9,0,15,False,False,False,True
225531.994,2386,18,19,True,False,21519702.96636852,84447936.13558283,-1189.1092529296875,2,26,4,0,0,26,5,0,15,False,False,False,False
225532.994,2386,18,19,True,False,21425285.121332884,112590640.15747629,1154.514892578125,0,10,0,0,64500,47,3,0,1,False,True,True,True
225532.994,2386,18,19,True,False,18529710.91611639,97374287.1733261,-1715.853759765625,0,18,0,0,120,27,8,0,7,True,False,True,False
225532.994,2386,18,19,True,False,19037066.474383537,100040481.3178975,-69.921875,0,23,0,0,64500,46,3,0,1,True,False,True,True
225532.994,2386,18,19,True,False,18866603.619433053,99144660.17622638,-1134.859619140625,0,24,0,0,1560,27,8,0,7,True,False,True,False
225532.994,2386,18,19,True,False,22657268.17859893,119064691.43914025,-1006.85791015625,0,27,0,0,64500,43,4,0,2,True,True,True,True
225532.994,2386,18,19,True,False,23035165.071870904,121050575.62302934,-2851.737548828125,2,7,0,0,64500,28,6,0,7,False,False,False,False
225532.994,2386,18,19,True,False,21227252.89199469,111549934.94164908,1153.640869140625,0,32,0,0,64500,35,5,0,4,False,False,False,False
225532.994,2386,18,19,True,False,22648263.76036169,119017410.10716656,939.77001953125,2,33,0,0,64500,46,3,0,1,True,False,True,True
225532.994,2386,18,19,True,False,21520010.633042112,113088424.94826646,-1593.099609375,2,26,0,0,64500,33,6,0,4,False,False,False,False
225532.994,2386,18,19,True,False,21425276.043101408,84077392.38389058,862.1575317382812,0,10,7,0,64500,43,3,0,1,False,True,True,True
225532.994,2386,18,19,True,False,18529691.817969885,72714466.50595865,-1281.9530029296875,0,18,7,0,64500,36,5,0,3,True,True,True,True
225532.994,2386,18,19,True,False,19037060.313968066,74705511.66131747,-52.056888580322266,0,23,7,0,64500,47,3,0,1,True,False,True,True
225532.994,2386,18,19,True,False,18866604.38947626,74036607.29653582,-848.0025024414062,0,24,7,0,0,27,8,0,15,False,True,True,False
225532.994,2386,18,19,True,False,22657263.959066477,88911955.31479025,-751.9263305664062,0,27,7,0,64500,40,3,0,2,True,True,True,True
225532.994,2386,18,19,True,False,23035160.72460286,90394913.07836674,-2130.165283203125,2,7,4,0,64500,26,7,0,9,False,False,False,False
225532.994,2386,18,19,True,False,22648253.359333903,88876610.9870915,701.607666015625,2,33,4,0,64500,48,3,0,1,True,False,True,True
225532.994,2386,18,19,True,False,21227248.5975659,83300283.91275582,861.4602661132812,0,32,7,0,27860,31,6,0,7,True,False,True,False
225532.994,2386,18,19,True,False,24763881.08981044,97178787.81682271,-2626.637939453125,2,13,4,0,0,22,9,0,15,False,False,False,True
225532.994,2386,18,19,True,False,21520005.73085714,84449124.33922029,-1189.4508056640625,2,26,4,0,0,26,7,0,15,False,True,True,False
225534.994,2386,18,19,True,False,21424845.736018337,112588331.19382727,1154.693603515625,0,10,0,0,64500,47,3,0,1,False,True,True,True
225534.994,2386,18,19,True,False,18530364.09786904,97377720.57369398,-1716.7918701171875,0,18,0,0,920,27,8,0,8,False,False,False,False
225534.994,2386,18,19,True,False,19037093.072982628,100040620.8510729,-69.842529296875,0,23,0,0,64500,46,3,0,1,False,True,True,True
225534.994,2386,18,19,True,False,18867041.348512534,99146931.04186973,-1136.09375,0,24,0,0,3560,27,8,0,8,False,False,False,False
225534.994,2386,18,19,True,False,22657651.512418076,119066705.6254962,-1007.449951171875,0,27,0,0,64500,43,4,0,1,False,True,True,True
225534.994,2386,18,19,True,False,23036249.673332505,121056280.28175835,-2852.116943359375,2,7,0,0,64500,28,6,0,7,False,False,False,False
225534.994,2386,18,19,True,False,21226813.810662933,111547628.03000322,1153.543701171875,0,32,0,0,64500,36,5,0,3,False,False,False,False
225534.994,2386,18,19,True,False,22647906.11563628,119015530.87320203,939.4794921875,2,33,0,0,64500,46,3,0,1,True,False,True,True
225534.994,2386,18,19,True,False,21520617.43867729,113091611.2867773,-1593.8936767578125,2,26,0,0,64500,33,6,0,4,False,False,False,False
225534.994,2386,18,19,True,False,21424836.5966413,84075668.1511382,862.4177856445312,0,10,7,0,64500,43,3,0,1,False,True,True,True
225534.994,2386,18,19,True,False,18530345.27906562,72717030.38077137,-1282.1531982421875,0,18,7,0,64500,36,5,0,3,True,True,True,True
225534.994,2386,18,19,True,False,19037086.961427767,74705615.85212553,-52.044681549072266,0,23,7,0,64500,47,3,0,1,True,False,True,True
225534.994,2386,18,19,True,False,18867035.90502181,74038301.44632308,-848.3152465820312,0,24,7,0,0,27,7,0,15,False,True,True,False
225534.994,2386,18,19,True,False,22657647.236067716,88913459.39628056,-752.4365844726562,0,27,7,0,64500,40,3,0,2,True,True,True,True
225534.994,2386,18,19,True,False,23036246.403091896,90399172.99852069,-2129.907958984375,2,7,4,0,64500,25,7,0,8,False,False,False,False
225534.994,2386,18,19,True,False,22647895.848346967,88875207.65768754,701.6162719726562,2,33,4,0,64500,48,3,0,1,True,False,True,True
225534.994,2386,18,19,True,False,21226809.197244167,83298561.29342073,861.1924438476562,0,32,7,0,29860,31,6,0,6,True,False,True,False
225534.994,2386,18,19,True,False,24765224.49984879,97184059.9402662,-2637.041259765625,2,13,4,0,0,22,9,0,15,False,False,False,True
225534.994,2386,18,19,True,False,21520612.51024719,84451505.74823019,-1189.1248779296875,2,26,4,0,0,26,7,0,15,False,True,True,False
225535.994,2386,18,19,True,False,21424626.03163452,112587176.4833923,1154.77587890625,0,10,0,0,64500,47,3,0,1,False,True,True,True
225535.994,2386,18,19,True,False,18530691.89811525,97379438.11950514,-1718.017333984375,0,18,0,0,1920,27,8,0,7,False,False,False,False
225535.994,2386,18,19,True,False,19037106.33291448,100040690.68886876,-69.8486328125,0,23,0,0,64500,46,3,0,1,True,False,True,True
225535.994,2386,18,19,True,False,18867260.519129094,99148067.58035535,-1135.897705078125,0,24,0,0,4560,27,8,0,7,False,False,False,False
225535.994,2386,18,19,True,False,22657843.296732716,119067713.36296217,-1007.9210815429688,0,27,0,0,64500,43,4,0,1,False,True,True,True
225535.994,2386,18,19,True,False,23036791.989593998,121059132.6371829,-2852.572021484375,2,7,0,0,64500,28,6,0,7,False,False,False,False
225535.994,2386,18,19,True,False,21226594.527108565,111546474.88680455,1153.1728515625,0,32,0,0,64500,36,5,0,3,False,False,False,False
225535.994,2386,18,19,True,False,22647727.211397156,119014591.4898691,939.490966796875,2,33,0,0,64500,46,3,0,1,True,False,True,True
